Type;Category;Nov-15;% Chg from Nov'14;YTD 2015;% Chg from YTD 2014
Car;Midsize;245,016 ;-7.3;3,215,320 ;-2.1
Car;Small;208,880 ;-8.9;2,838,857 ;-1.6
Car;Luxury;92,665 ;-10.6;1,029,293 ;-3.7
Car;Large;196 ;-31.9;1,625 ;-52.7
Cars;TOTAL;546,757 ;-8.5;7,085,095 ;-2.1
Light-duty trucks;Pickup;773,156 ;2.9;2,279,849 ;9.5
Light-duty trucks;Cross-over;364,007 ;15.1;4,103,110 ;17.6
Light-duty trucks;Minivan;39,461 ;2.5;452,242 ;-9
Light-duty trucks;Midsize SUV;71,521 ;6.3;849,978 ;15
Light-duty trucks;Large SUV;24,261 ;-2.3;247,888 ;-4.7
Light-duty trucks;Small SUV;17,972 ;2.3;234,284 ;7.7
Light-duty trucks;Luxury SUV;21,081 ;6.4;199,980 ;16.8
SUVs;TOTAL;134,835 ;4.1;1,532,130 ;10.4
Trucks;TOTAL;773,156 ;9.7;8,742,729 ;12.5
Data Source;http://online.wsj.com/mdc/public/page/2_3022-autosales.html#autosalesE;;;;
;http://www.motorintelligence.com/m_frameset.html;;;;
