State;All Dealerships Sales(millions) 2014;
Alabama;10,994 ;
Alaska;1,377 ;
Arizona;18,818 ;
Arkansas;6,967 ;
California;97,686 ;
Colorado;15,121 ;
Connecticut;10,214 ;
Delaware;2,799 ;
Florida;59,628 ;
Georgia;24,572 ;
Hawaii;2,288 ;
Idoho;3,763 ;
Illinois;31,964 ;
Indiana;14,402 ;
Lowa;8,421 ;
Kansas;6,486 ;
Kentucky;7,924 ;
Louisiana;10,718 ;
Maine;3,865 ;
Maryland;14,737 ;
Massachusetts;18,684 ;
Michigan;17,430 ;
Minnesota;11,068 ;
Mississippi;5,516 ;
Missouri;15,217 ;
Montana;3,228 ;
Nebraska;5,523 ;
Nevada;6,147 ;
New Hampshire;5,456 ;
New Jersey;25,875 ;
New Mexico;4,251 ;
New York;45,466 ;
North Carolina;23,356 ;
North Dakota;3,455 ;
Ohio;29,629 ;
Oklahoma;20,564 ;
Oregon;8,648 ;
Pennsylvania;31,068 ;
Rhode Island;2,256 ;
South Carolina;10,302 ;
South Dakota;2,960 ;
Tennessee;13,355 ;
Texas;81,442 ;
Utah;7,144 ;
Vermont;2,051 ;
Virginia;18,984 ;
Washington;14,559 ;
West Virginia;4,142 ;
Wisconsin;14,067 ;
Wyoming;1,528 ;
Total;806,115 ;
