Brand,Model,year,category,Overall Dependability,Powertrain  Dependability,Body & Interior Dependability,Feature & Accessory Dependability
Toyota,Corolla,2012,COMPACT,5,4,5,5
Buick,Verano,2012,COMPACT,5,5,4,5
Honda,Civic,2012,COMPACT,5,5,4,5
Chevrolet,Volt,2012,COMPACT,4,3,5,4
Dodge ,Caliber,2012,COMPACT,3,3,3,4
Honda,Insight,2012,COMPACT,4,3,4,4
Kia,Forte,2012,COMPACT,3,4,3,4
Mazda,MAZDA3,2012,COMPACT,4,4,3,4
Nissan,LEAF,2012,COMPACT,5,5,5,4
Toyota,Prius,2012,COMPACT,5,5,4,4
Chevrolet,Cruze,2012,COMPACT,4,3,4,3
Hyundai,Elantra,2012,COMPACT,3,3,3,3
Nissan,Sentra,2012,COMPACT,3,3,3,3
Volkswagen,Golf,2012,COMPACT,4,4,4,3
Ford,Focus,2012,COMPACT,2,2,2,2
Subaru,Impreza,2012,COMPACT,2,3,2,2
Volkswagen,Beetle,2012,COMPACT,3,4,2,2
Volkswagen,Jetta,2012,COMPACT,3,4,4,2
Lexus,ES,2012,COMPACT PREMIUM,5,5,5,4
Acura,TL,2012,COMPACT PREMIUM,4,3,4,4
Acura,TSX,2012,COMPACT PREMIUM,3,4,3,2
Audi,A3,2012,COMPACT PREMIUM,3,2,2,4
Audi,A4,2012,COMPACT PREMIUM,3,2,4,4
Audi,A5,2012,COMPACT PREMIUM,4,3,4,3
BMW,1 Series,2012,COMPACT PREMIUM,3,2,4,3
BMW,3 series,2012,COMPACT PREMIUM,3,3,4,2
Cadillac,CTS,2012,COMPACT PREMIUM,4,3,3,5
Infiniti,G,2012,COMPACT PREMIUM,2,2,2,3
Lexus,CT,2012,COMPACT PREMIUM,4,5,3,4
Lexus,IS,2012,COMPACT PREMIUM,4,4,3,4
Lincoln,MKZ,2012,COMPACT PREMIUM,5,4,4,4
Mercedes-Benz,C-Class,2012,COMPACT PREMIUM,3,3,4,2
Volkswagen,CC,2012,COMPACT PREMIUM,2,2,2,2
Volvo,S60,2012,COMPACT PREMIUM,2,3,2,3
Scion ,tC,2012,COMPACT SPORTY,5,5,3,5
Hyundai,Veloster,2012,COMPACT SPORTY,2,2,2,2
MINI,Cooper,2012,COMPACT SPORTY,4,3,4,4
Volkswagen,Eos,2012,COMPACT SPORTY,4,4,4,4
Volkswagen,GTI,2012,COMPACT SPORTY,3,3,5,3
Scion ,xB,2012,COMPACT MULTI-PURPOSE VEHICLE,5,4,2,2
Kia,Soul,2012,COMPACT MULTI-PURPOSE VEHICLE,2,2,3,5
Mazda,MAZDA5,2012,COMPACT MULTI-PURPOSE VEHICLE,4,2,4,3
Toyota,Prius v,2012,COMPACT MULTI-PURPOSE VEHICLE,4,5,5,4
GMC,Terrain,2012,COMPACT SUV,5,4,5,5
Chevrolet,Equinox,2012,COMPACT SUV,4,3,4,4
Ford,Escape,2012,COMPACT SUV,2,3,2,2
Honda,CR-V,2012,COMPACT SUV,4,3,4,4
Jeep,Liberty,2012,COMPACT SUV,3,3,3,2
Jeep,Wrangler,2012,COMPACT SUV,2,2,2,2
Nissan,Rogue,2012,COMPACT SUV,4,4,3,4
